Luxembourg,LUX,CO2 emissions (metric tons per capita),22718,25497,25669,24839,23209,22593,21013,21817,21086,20134,18680,17346,16029,15223,15092,15330,15838,13059
Madagascar,MDG,CO2 emissions (metric tons per capita),90,93,93,87,89,89,82,88,101,123,128,129,137,129,137,128,150,133
Malawi,MWI,CO2 emissions (metric tons per capita),73,74,72,72,73,80,79,72,76,73,76,68,72,79,85,87,85,73
Malaysia,MYS,CO2 emissions (metric tons per capita),5823,6251,6477,6590,7049,7385,6527,7059,7039,6993,7459,7757,7682,7451,7166,7600,8722,8423
Maldives,MDV,CO2 emissions (metric tons per capita),1751,2377,2221,2657,2596,2533,2575,2625,2654,2870,2719,3126,2968,3680,3666,3704,3379,3324
Mali,MLI,CO2 emissions (metric tons per capita),117,120,129,143,152,148,172,185,201,195,185,184,196,246,273,295,188,167
Malta,MLT,CO2 emissions (metric tons per capita),6548,6479,6488,6538,6663,6644,6085,6224,6174,6452,5564,5408,3707,2965,3248,3198,3790,3612
Marshall Islands,MHL,CO2 emissions (metric tons per capita),2057,2386,2534,2511,2498,2315,2489,2484,2477,2469,2459,2623,2611,3118,3101,3253,2570,2556
Mauritania,MRT,CO2 emissions (metric tons per capita),455,480,479,469,537,546,586,592,609,648,576,641,729,675,887,908,817,726
Mauritius,MUS,CO2 emissions (metric tons per capita),2266,2269,2410,2674,2743,2789,2742,2927,2906,2970,3035,3133,3136,3198,3305,3264,3448,3129
Mexico,MEX,CO2 emissions (metric tons per capita),3948,3963,4079,4181,4236,4308,4106,4110,4157,4099,3954,3808,3878,3886,3781,3741,3414,2769
"Micronesia, Fed. Sts.",FSM,CO2 emissions (metric tons per capita),1497,1501,1508,1329,1340,1159,1262,1069,1160,1244,1322,1303,1378,1542,1525,1598,0,0
Moldova,MDA,CO2 emissions (metric tons per capita),2677,2687,2832,2771,2833,2842,2667,2901,2920,2847,2512,2699,2829,2905,2962,3172,1275,1276
Mongolia,MNG,CO2 emissions (metric tons per capita),3771,3830,4378,4854,5020,4928,5101,5261,5678,6068,6378,6163,5770,5945,6253,6725,27500,26978
Montenegro,MNE,CO2 emissions (metric tons per capita),0,0,3272,3545,3410,4360,2830,4165,4096,3754,3654,3570,3793,3391,3583,4050,4212,3678
Morocco,MAR,CO2 emissions (metric tons per capita),1283,1400,1461,1499,1532,1591,1583,1659,1763,1809,1771,1789,1822,1796,1853,1851,1870,1748
Mozambique,MOZ,CO2 emissions (metric tons per capita),99,96,83,88,103,101,110,116,132,123,135,170,209,208,210,225,240,210
Myanmar,MMR,CO2 emissions (metric tons per capita),226,216,226,207,212,161,152,164,168,229,262,326,361,413,588,605,667,668
Namibia,NAM,CO2 emissions (metric tons per capita),1208,1248,1305,1288,1306,1449,1456,1477,1539,1613,1710,1759,1845,1849,1802,1736,1636,1526
Nauru,NRU,CO2 emissions (metric tons per capita),7007,7066,7108,5088,4063,4049,4022,3996,3973,3946,4898,4860,4820,5728,6618,6556,5263,5236
Nepal,NPL,CO2 emissions (metric tons per capita),120,111,124,101,102,112,144,172,192,222,226,265,239,343,399,428,593,582
Netherlands,NLD,CO2 emissions (metric tons per capita),10506,10574,10292,10015,10050,10057,9712,10301,9517,9401,9350,8888,9334,9293,9101,8773,8984,8060
New Zealand,NZL,CO2 emissions (metric tons per capita),8304,8042,8288,8199,7905,8068,7279,7155,6923,7262,7148,7039,6984,6614,6839,6573,7839,6942
Nicaragua,NIC,CO2 emissions (metric tons per capita),856,839,791,818,835,787,764,774,808,784,741,775,847,853,846,806,867,766
Niger,NER,CO2 emissions (metric tons per capita),60,60,56,53,56,56,68,83,82,106,97,103,98,95,96,102,80,70
